date,bank_holiday,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,school_holiday,feature_8,feature_9,feature_10,label
2006-04-02,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1583
2006-04-03,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1350
2006-04-04,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1183
2006-04-05,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1237
2006-04-06,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1104
2006-04-07,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1072
2006-04-08,0,1,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1274
2006-04-09,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1647
2006-04-10,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,1739
2006-04-11,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,1641
2006-04-12,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,2264
2006-04-13,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,1742
2006-04-14,3,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,1535
2006-04-15,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,1189
2006-04-16,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,842
2006-04-17,3,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,1484
2006-04-18,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,1768
2006-04-19,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,1410
2006-04-20,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,1363
2006-04-21,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,1116
2006-04-22,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,1381
2006-04-23,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1873
2006-04-24,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,658
2006-04-25,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,555
2006-04-26,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,609
2006-04-27,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,640
2006-04-28,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,655
2006-04-29,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1121
2006-04-30,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1745
2006-05-01,3,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1186
2006-05-02,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,518
2006-05-03,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,703
2006-05-04,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,658
2006-05-05,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,834
2006-05-06,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1275
2006-05-07,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1436
2006-05-08,0,0,1,1,3.2,6.7,1.7,3.7,0,0,0,0,0,679
2006-05-09,0,0,1,1,3.2,6.7,1.7,3.7,0,0,0,0,0,554
2006-05-10,0,0,1,1,3.2,6.7,1.7,3.7,0,0,0,0,0,673
2006-05-11,0,0,1,1,3.2,6.7,1.7,3.7,0,0,0,0,0,578
2006-05-12,0,0,1,1,3.2,6.7,1.7,3.7,0,0,0,0,0,654
2006-05-13,0,0,1,1,3.2,6.7,1.7,3.7,0,0,0,0,0,737
2006-05-14,0,0,1,1,3.2,6.7,1.7,3.7,0,0,0,0,0,814
2006-05-15,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,490
2006-05-16,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,509
2006-05-17,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,529
2006-05-18,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,591
2006-05-19,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,773
2006-05-20,0,1,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1449
2006-05-21,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,2077
2006-05-22,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,612
2006-05-23,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,613
2006-05-24,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,645
2006-05-25,3,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,2112
2006-05-26,0,0,0,0,3.2,6.7,1.7,3.7,0,1,0,0,0,1675
2006-05-27,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1777
2006-05-28,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1841
2006-05-29,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,759
2006-05-30,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,622
2006-05-31,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,691
2006-06-01,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,641
2006-06-02,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,703
2006-06-03,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1143
2006-06-04,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1750
2006-06-05,3,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1720
2006-06-06,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,1031
2006-06-07,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,557
2006-06-08,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,595
2006-06-09,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,611
2006-06-10,0,1,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1881
2006-06-11,0,1,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,2635
2006-06-12,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1381
2006-06-13,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1935
2006-06-14,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,782
2006-06-15,2,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1175
2006-06-16,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1059
2006-06-17,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1326
2006-06-18,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1927
2006-06-19,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,913
2006-06-20,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,676
2006-06-21,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,705
2006-06-22,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,785
2006-06-23,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,661
2006-06-24,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,1092
2006-06-25,0,0,0,0,3.2,6.7,1.7,3.7,0,0,0,0,0,2535
2006-06-26,0,1,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,1022
2006-06-27,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,702
2006-06-28,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,842
2006-06-29,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,888
2006-06-30,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,628
2006-07-01,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,2104
2006-07-02,0,1,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,3609
2006-07-03,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,1874
2006-07-04,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,2016
2006-07-05,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,2778
2006-07-06,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,1231
2006-07-07,0,1,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,939
2006-07-08,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,1452
2006-07-09,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,2243
2006-07-10,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,923
2006-07-11,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,1245
2006-07-12,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,1294
2006-07-13,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,1711
2006-07-14,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,1206
2006-07-15,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,2103
2006-07-16,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,3213
2006-07-17,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,2041
2006-07-18,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,2514
2006-07-19,0,0,0,0,3.2,6.7,1.7,3.7,0,2,0,0,0,3169
2006-07-20,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,2903
2006-07-21,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,2659
2006-07-22,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,2855
2006-07-23,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,2787
2006-07-24,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,1842
2006-07-25,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,2864
2006-07-26,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,3311
2006-07-27,0,1,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,2492
2006-07-28,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,1525
2006-07-29,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,1835
2006-07-30,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,2462
2006-07-31,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,1428
2006-08-01,0,0,0,0,3.2,6.7,1.7,3.7,0,3,0,0,0,1583
